co2_ppm,humidity_pct,light_lux,nh3_ko,oxidised_ko,pm10_ugm3,pm1_uhm3,pm25_ugm3,pressure_inhg,reduced_ko,temperature_f,timestamp
949.0,26.092779107800997,50.2733,136.57522469714732,27.355886332882278,4.0,1.0,4.0,25.190720631991613,344.65040650406524,85.44834397932968,2026-03-30T16:27:12.044174
946.0,26.258547067622064,45.9948,136.57522469714732,27.362936648904682,4.0,1.0,4.0,25.19110587765417,345.9575856443722,84.7343284271565,2026-03-30T16:27:17.293134
946.0,26.200779694085462,43.3022,136.72585060617914,27.369988157672143,3.0,0.0,3.0,25.190775727028036,345.9575856443722,84.93707210836,2026-03-30T16:27:22.527987
947.0,26.110056396892162,36.75515,136.01246834210022,27.327696990192763,3.0,0.0,3.0,25.19057643820973,344.97640358014667,85.37959369126706,2026-03-30T16:27:27.771498
948.0,26.135134060558453,40.4803,136.27467811158797,27.34883720930233,3.0,2.0,3.0,25.19081235114823,344.81333875559193,85.29701881651049,2026-03-30T16:27:33.015422
949.0,26.098191028439818,38.34105,136.57522469714732,27.384094754653134,4.0,2.0,4.0,25.190531827631613,345.7937219730944,85.72797992502998,2026-03-30T16:27:38.232570
947.0,26.049501218224375,40.4803,136.57522469714732,27.42644320297952,3.0,1.0,3.0,25.19028683884423,346.44997958350376,85.47982009397,2026-03-30T16:27:43.485955
948.0,26.029891148286136,42.1955,136.72585060617914,27.475904124671814,4.0,2.0,4.0,25.190237109008237,346.9435813573184,84.75784899955231,2026-03-30T16:27:48.703819
948.0,26.029994632970805,39.07885,136.80125195618155,27.46883468834689,4.0,2.0,4.0,25.19090885806156,346.44997958350376,86.03041725232465,2026-03-30T16:27:53.950482
946.0,26.041712867687618,40.4803,137.1791454331635,27.525423728813557,3.0,1.0,3.0,25.18997652383809,348.2657916324856,86.03124300200479,2026-03-30T16:27:59.184737
946.0,26.011312506815692,41.27325,137.1791454331635,27.532502754470716,3.0,1.0,3.0,25.1902709187178,346.6143790849676,85.74034848653757,2026-03-30T16:28:04.415009
945.0,26.01146218011084,40.1114,136.6505082095387,27.490046590427795,2.0,1.0,2.0,25.1903864166012,346.28571428571456,85.4896137380828,2026-03-30T16:28:09.649646
944.0,25.956559046109085,41.27325,136.72585060617914,27.490046590427795,3.0,1.0,3.0,25.191334803082597,345.9575856443722,85.99283249391594,2026-03-30T16:28:14.883846
944.0,25.9627536143835,41.27325,136.87671232876716,27.539582980166127,4.0,1.0,4.0,25.191384981122106,346.9435813573184,86.26266598954032,2026-03-30T16:28:20.123864
946.0,26.134289398305082,40.29585,136.9144646701899,27.55374703289251,3.0,1.0,3.0,25.19007031167823,347.6036036036036,85.87012422098681,2026-03-30T16:28:25.352240
947.0,26.158771510969764,41.4577,137.1034482758621,27.58208955223881,4.0,2.0,4.0,25.190475558085726,347.6036036036036,85.833276302656,2026-03-30T16:28:30.599376
946.0,26.153688578868337,44.94325,136.99001370667713,27.59626802374894,4.0,2.0,4.0,25.19042412410693,346.7789129546386,85.57026193146426,2026-03-30T16:28:35.810126
944.0,26.190939755642738,44.5192,137.06562193927525,27.59626802374894,5.0,2.0,5.0,25.19049391010525,346.9435813573184,85.55726317169885,2026-03-30T16:28:41.052101
943.0,26.17197940582031,43.3022,137.29280251029616,27.59626802374894,4.0,1.0,4.0,25.189717920509896,346.12158302733604,85.7206637332556,2026-03-30T16:28:46.273023
944.0,26.184820883902127,49.9044,137.14128943758575,27.58208955223881,4.0,1.0,4.0,25.190067034484347,346.9435813573184,85.73243742371537,2026-03-30T16:28:51.502212
944.0,26.19654712929998,46.9722,136.53760500097673,27.532502754470716,4.0,2.0,4.0,25.190438470759027,345.1396011396014,85.77320986450546,2026-03-30T16:28:56.744500
943.0,26.207853327045317,50.08885,136.61285909712723,27.546664406204968,4.0,2.0,4.0,25.189952172781613,346.28571428571456,85.718497271734,2026-03-30T16:29:01.974543
944.0,26.171888335406194,47.9496,136.46240968560826,27.532502754470716,4.0,2.0,4.0,25.19042115998531,344.65040650406524,85.99348948154056,2026-03-30T16:29:07.206414
943.0,26.183603857902984,49.11145,136.61285909712723,27.560830860534125,3.0,1.0,3.0,25.19026663949949,345.629991850041,86.09083019620783,2026-03-30T16:29:12.429595
941.0,26.200325015436036,53.38995,136.68817204301078,27.589178186752612,3.0,1.0,3.0,25.19048793849914,347.10838445807804,86.1861020512868,2026-03-30T16:29:17.659460
